epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.57176,1.95143,0.13333,1,1.68223,2.222e-05,2.222e-05,2.222e-05
2,9.73244,1.8509,0.13333,1,1.7237,5.28003e-05,5.28003e-05,5.28003e-05
3,14.4781,1.82423,0.06667,1,1.67497,8.00809e-05,8.00809e-05,8.00809e-05
4,18.87,1.61606,0.2,1,1.49556,0.000104062,0.000104062,0.000104062
5,23.1239,1.35049,0.46667,1,1.30593,0.000124743,0.000124743,0.000124743
6,27.2795,1.29578,0.6,1,1.17927,0.000142125,0.000142125,0.000142125
7,31.5066,1.21607,0.73333,1,0.99092,0.000156207,0.000156207,0.000156207
8,35.5907,1.17449,0.73333,1,0.96263,0.000166989,0.000166989,0.000166989
9,39.7473,0.9658,0.66667,1,0.8634,0.000174471,0.000174471,0.000174471
10,43.8213,0.99334,0.73333,1,0.80824,0.000178654,0.000178654,0.000178654
11,48.0973,1.09079,0.73333,1,0.72426,0.000179538,0.000179538,0.000179538
12,52.2438,0.97389,0.86667,1,0.66305,0.000177121,0.000177121,0.000177121
13,56.4225,0.99171,0.86667,1,0.59136,0.000171405,0.000171405,0.000171405
14,60.5748,0.97372,0.93333,1,0.55709,0.000162389,0.000162389,0.000162389
15,64.792,0.77108,0.93333,1,0.5061,0.000150074,0.000150074,0.000150074
16,68.9042,0.72232,0.93333,1,0.49179,0.000134459,0.000134459,0.000134459
17,73.0976,0.80194,0.93333,1,0.45895,0.000115544,0.000115544,0.000115544
18,77.2898,0.79343,0.93333,1,0.42888,9.33296e-05,9.33296e-05,9.33296e-05
19,81.4349,0.7017,0.93333,1,0.41388,6.78154e-05,6.78154e-05,6.78154e-05
20,85.5777,0.50381,0.93333,1,0.42743,3.90017e-05,3.90017e-05,3.90017e-05
