epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.4279,1.31564,0.63605,1,0.90093,0.000362618,0.000362618,0.000362618
2,24.3935,0.78322,0.68027,1,0.90989,0.00069667,0.00069667,0.00069667
3,36.0289,0.57651,0.70748,1,0.87072,0.00099406,0.00099406,0.00099406
4,47.6592,0.57196,0.82653,1,0.60075,0.000946016,0.000946016,0.000946016
5,59.1562,0.50302,0.89116,1,0.44587,0.000891022,0.000891022,0.000891022
6,70.8504,0.56719,0.81293,1,0.54053,0.000836027,0.000836027,0.000836027
7,82.4493,0.44817,0.84014,1,0.38476,0.000781033,0.000781033,0.000781033
8,94.326,0.39371,0.86054,1,0.40087,0.000726038,0.000726038,0.000726038
9,106.256,0.34488,0.88776,1,0.37371,0.000671044,0.000671044,0.000671044
10,118.578,0.39689,0.92177,1,0.2471,0.000616049,0.000616049,0.000616049
11,130.463,0.29765,0.89796,1,0.3147,0.000561055,0.000561055,0.000561055
12,142.461,0.28907,0.90816,1,0.28184,0.00050606,0.00050606,0.00050606
13,155.721,0.26762,0.92857,1,0.18551,0.000451066,0.000451066,0.000451066
14,167.433,0.27301,0.93197,1,0.23661,0.000396071,0.000396071,0.000396071
15,178.989,0.25149,0.95578,1,0.16553,0.000341077,0.000341077,0.000341077
16,190.385,0.26651,0.93197,1,0.17878,0.000286083,0.000286083,0.000286083
17,201.659,0.21672,0.93878,1,0.17887,0.000231088,0.000231088,0.000231088
18,212.927,0.20948,0.93878,1,0.17726,0.000176094,0.000176094,0.000176094
19,224.053,0.19932,0.94218,1,0.13661,0.000121099,0.000121099,0.000121099
20,235.267,0.2132,0.94898,1,0.13054,6.61045e-05,6.61045e-05,6.61045e-05
